Period,Value
Jan-92,790
Feb-92,539
Mar-92,535
Apr-92,523
May-92,552
Jun-92,589
Jul-92,592
Aug-92,894
Sep-92,861
Oct-92,645
Nov-92,642
Dec-92,1165
Jan-93,998
Feb-93,568
Mar-93,602
Apr-93,583
May-93,612
Jun-93,618
Jul-93,607
Aug-93,983
Sep-93,903
Oct-93,669
Nov-93,692
Dec-93,1273
Jan-94,1053
Feb-94,635
Mar-94,634
Apr-94,610
May-94,684
Jun-94,724
Jul-94,678
Aug-94,1154
Sep-94,1022
Oct-94,732
Nov-94,772
Dec-94,1409
Jan-95,1308
Feb-95,718
Mar-95,695
Apr-95,688
May-95,785
Jun-95,808
Jul-95,782
Aug-95,1248
Sep-95,1102
Oct-95,746
Nov-95,850
Dec-95,1466
Jan-96,1373
Feb-96,757
Mar-96,743
Apr-96,750
May-96,853
Jun-96,838
Jul-96,786
Aug-96,1359
Sep-96,1040
Oct-96,899
Nov-96,908
Dec-96,1599
Jan-97,1558
Feb-97,825
Mar-97,813
Apr-97,806
May-97,894
Jun-97,875
Jul-97,830
Aug-97,1301
Sep-97,1158
Oct-97,923
Nov-97,994
Dec-97,1765
Jan-98,1463
Feb-98,921
Mar-98,882
Apr-98,854
May-98,919
Jun-98,939
Jul-98,881
Aug-98,1385
Sep-98,1246
Oct-98,953
Nov-98,990
Dec-98,1849
Jan-99,1514
Feb-99,990
Mar-99,976
Apr-99,933
May-99,976
Jun-99,1031
Jul-99,1023
Aug-99,1386
Sep-99,1240
Oct-99,1019
Nov-99,1088
Dec-99,1996
Jan-00,1505
Feb-00,1090
Mar-00,1031
Apr-00,975
May-00,1104
Jun-00,1122
Jul-00,1048
Aug-00,1594
Sep-00,1406
Oct-00,1014
Nov-00,1098
Dec-00,1892
Jan-01,1585
Feb-01,1070
Mar-01,1062
Apr-01,934
May-01,1070
Jun-01,1077
Jul-01,1005
Aug-01,1820
Sep-01,1406
Oct-01,1015
Nov-01,1098
Dec-01,1956
Jan-02,1971
Feb-02,1000
Mar-02,1008
Apr-02,966
May-02,1116
Jun-02,1045
Jul-02,1038
Aug-02,1797
Sep-02,1490
Oct-02,997
Nov-02,1059
Dec-02,1950
Jan-03,2056
Feb-03,991
Mar-03,925
Apr-03,975
May-03,1107
Jun-03,1181
Jul-03,1128
Aug-03,2139
Sep-03,1572
Oct-03,1045
Nov-03,1036
Dec-03,2064
Jan-04,2146
Feb-04,1108
Mar-04,1073
Apr-04,1023
May-04,1113
Jun-04,1207
Jul-04,1172
Aug-04,2120
Sep-04,1561
Oct-04,1069
Nov-04,1089
Dec-04,2200
Jan-05,2076
Feb-05,1086
Mar-05,1101
Apr-05,997
May-05,1120
Jun-05,1154
Jul-05,1214
Aug-05,2218
Sep-05,1554
Oct-05,1064
Nov-05,1151
Dec-05,2257
Jan-06,2225
Feb-06,1101
Mar-06,1092
Apr-06,987
May-06,1176
Jun-06,1238
Jul-06,1135
Aug-06,2142
Sep-06,1554
Oct-06,1054
Nov-06,1142
Dec-06,2132
Jan-07,2220
Feb-07,1039
Mar-07,1027
Apr-07,930
May-07,1134
Jun-07,1161
Jul-07,1220
Aug-07,2327
Sep-07,1578
Oct-07,1129
Nov-07,1227
Dec-07,2179
Jan-08,2300
Feb-08,1157
Mar-08,1026
Apr-08,1004
May-08,1158
Jun-08,1073
Jul-08,1121
Aug-08,2425
Sep-08,1471
Oct-08,1024
Nov-08,1034
Dec-08,2008
Jan-09,2189
Feb-09,970
Mar-09,945
Apr-09,913
May-09,1053
